,馬 番,馬名,speed_1R,speed_2R,speed_3R
202306040911,1,ナムラクレア,63.95718598008921,59.58441980714754,51.22170977680303
202306040911,2,テイエムスパーダ,73.10603274281131,55.99792276295999,59.490858715148164
202306040911,3,ピクシーナイト,64.62664541597952,60.70639588985491,36.171462969418705
202306040911,4,ナランフレグ,47.11873858831767,50.39144638075978,48.76202716471561
202306040911,5,ウインマーベル,34.5658666774983,64.20761432658855,40.56624627964454
202306040911,6,ママコチャ,66.31229672107612,78.23482294982706,54.21335035072831
202306040911,7,オールアットワンス,65.65197533402805,59.70122011881204,59.33418767017983
202306040911,8,メイケイエール,56.54832247950213,39.447878630315046,52.93306732202564
202306040911,9,アグリ,68.81047243886442,45.17086235544998,71.26308297967418
202306040911,10,マッドクール,55.801334797017084,66.03828162580992,66.57482922481404
202306040911,11,ジュビリーヘッド,54.72378226766561,64.52916802147575,56.39684487059399
202306040911,12,ドルチェモア,56.6526009681335,40.873028780736036,49.85092526322987
202306040911,13,ジャスパークローネ,68.33948888283749,69.24434460248106,39.86865775775285
202306040911,14,エイシンスポッター,64.62664541597952,60.74692911688936,71.90157160345113
202306040911,15,キミワクイーン,53.41911701536831,66.50935839401534,66.03828162580992
202306040911,16,モズメイメイ,58.49482716689383,73.12550266105734,57.78026888640069
